Carrier,DayOfWeek,DepTimeBinned,Destination,Origin,Weather,FlightStatus
OH,4,1400-1459,JFK,BWI,0,0
DH,4,1600-1659,JFK,DCA,0,0
DH,4,1200-1259,LGA,IAD,0,0
DH,4,1700-1759,LGA,IAD,0,0
DH,4,1000-1059,LGA,IAD,0,0
DH,4,0800-0859,JFK,IAD,0,0
DH,4,1200-1259,JFK,IAD,0,0
DH,4,1600-1659,JFK,IAD,0,0
DH,4,1700-1759,JFK,IAD,0,0
DH,4,2100-2159,JFK,IAD,0,0
DH,4,2100-2159,LGA,IAD,0,0
DL,4,1400-1459,JFK,DCA,0,0
DL,4,0900-0959,LGA,DCA,0,0
DL,4,1200-1259,LGA,DCA,0,0
DL,4,1400-1459,LGA,DCA,0,0
DL,4,1700-1759,LGA,DCA,0,0
DL,4,2000-2059,LGA,DCA,0,0
MQ,4,1500-1559,JFK,DCA,0,0
MQ,4,0600-0659,JFK,DCA,0,0
MQ,4,1800-1859,JFK,DCA,0,0
MQ,4,0900-0959,LGA,DCA,0,0
MQ,4,1300-1359,LGA,DCA,0,0
MQ,4,1400-1459,LGA,DCA,0,0
MQ,4,1500-1559,LGA,DCA,0,0
MQ,4,1900-1959,LGA,DCA,0,0
UA,4,0800-0859,LGA,IAD,0,0
US,4,0900-0959,LGA,DCA,0,0
US,4,1100-1159,LGA,DCA,0,0
US,4,1300-1359,LGA,DCA,0,0
US,4,1500-1559,LGA,DCA,0,0
US,4,1700-1759,LGA,DCA,0,0
US,4,2100-2159,LGA,DCA,0,0
RU,4,1400-1459,EWR,BWI,0,0
RU,4,1700-1759,EWR,BWI,0,0
RU,4,1000-1059,EWR,BWI,0,0
RU,4,0700-0759,EWR,BWI,0,0
CO,4,1300-1359,EWR,DCA,0,0
CO,4,1700-1759,EWR,DCA,0,0
DH,4,0800-0859,EWR,IAD,0,0
DH,4,1700-1759,EWR,IAD,0,0
DH,4,1200-1259,EWR,IAD,0,0
DH,4,2100-2159,EWR,IAD,0,0
RU,4,1700-1759,EWR,IAD,0,0
RU,4,1900-1959,EWR,IAD,0,0
RU,4,1500-1559,EWR,DCA,0,0
RU,4,1900-1959,EWR,DCA,0,0
RU,4,1400-1459,EWR,DCA,0,0
RU,4,1500-1559,EWR,IAD,0,0
RU,4,1300-1359,EWR,IAD,0,0
RU,4,1600-1659,EWR,DCA,0,0
OH,5,1400-1459,JFK,BWI,0,0
DH,5,1600-1659,JFK,DCA,0,0
DH,5,1200-1259,LGA,IAD,0,0
DH,5,1400-1459,LGA,IAD,0,1
DH,5,1700-1759,LGA,IAD,0,0
DH,5,0600-0659,LGA,IAD,0,0
DH,5,1000-1059,LGA,IAD,0,1
DH,5,0800-0859,JFK,IAD,0,0
DH,5,1200-1259,JFK,IAD,0,0
DH,5,1400-1459,JFK,IAD,0,0
DH,5,1600-1659,JFK,IAD,0,0
DH,5,1700-1759,JFK,IAD,0,0
DH,5,2100-2159,JFK,IAD,0,1
DH,5,1600-1659,JFK,IAD,0,0
DH,5,2100-2159,LGA,IAD,0,0
DL,5,1400-1459,JFK,DCA,0,0
DL,5,0900-0959,LGA,DCA,0,0
DL,5,1200-1259,LGA,DCA,0,0
DL,5,1400-1459,LGA,DCA,0,0
DL,5,1700-1759,LGA,DCA,0,0
DL,5,2000-2059,LGA,DCA,0,0
MQ,5,1500-1559,JFK,DCA,0,0
MQ,5,0600-0659,JFK,DCA,0,0
MQ,5,1800-1859,JFK,DCA,0,0
MQ,5,0900-0959,LGA,DCA,0,0
MQ,5,1100-1159,LGA,DCA,0,0
MQ,5,1300-1359,LGA,DCA,0,0
MQ,5,1400-1459,LGA,DCA,0,0
MQ,5,1500-1559,LGA,DCA,0,0
UA,5,0800-0859,LGA,IAD,0,0
US,5,0700-0759,LGA,DCA,0,0
US,5,0900-0959,LGA,DCA,0,0
US,5,1100-1159,LGA,DCA,0,0
US,5,1300-1359,LGA,DCA,0,0
US,5,1500-1559,LGA,DCA,0,0
US,5,1700-1759,LGA,DCA,0,0
US,5,1900-1959,LGA,DCA,0,0
US,5,2100-2159,LGA,DCA,0,0
RU,5,1700-1759,EWR,BWI,0,0
RU,5,1000-1059,EWR,BWI,0,0
RU,5,0700-0759,EWR,BWI,0,0
RU,5,1400-1459,EWR,BWI,0,0
CO,5,1700-1759,EWR,DCA,0,0
CO,5,1300-1359,EWR,DCA,0,0
CO,5,0700-0759,EWR,DCA,0,0
DH,5,0800-0859,EWR,IAD,0,0
DH,5,1200-1259,EWR,IAD,0,1
DH,5,1400-1459,EWR,IAD,0,1
DH,5,0600-0659,EWR,IAD,0,0
RU,5,1600-1659,EWR,DCA,0,0
RU,5,0700-0759,EWR,IAD,0,0
RU,5,0900-0959,EWR,DCA,0,0
RU,5,0700-0759,EWR,DCA,0,0
RU,5,1700-1759,EWR,IAD,0,0
RU,5,1900-1959,EWR,IAD,0,0
RU,5,1300-1359,EWR,IAD,0,0
RU,5,0900-0959,EWR,IAD,0,0
RU,5,1900-1959,EWR,DCA,0,0
RU,5,2100-2159,EWR,DCA,0,0
RU,5,1400-1459,EWR,DCA,0,0
RU,5,1500-1559,EWR,IAD,0,1
RU,5,1500-1559,EWR,DCA,0,0
DH,6,1200-1259,LGA,IAD,0,0
DH,6,1700-1759,LGA,IAD,0,0
DH,6,0600-0659,LGA,IAD,0,0
DH,6,1000-1059,LGA,IAD,0,0
DH,6,0800-0859,JFK,IAD,0,0
DH,6,1200-1259,JFK,IAD,0,0
DH,6,1400-1459,JFK,IAD,0,0
DH,6,1600-1659,JFK,IAD,0,0
DH,6,1700-1759,JFK,IAD,0,0
DH,6,2100-2159,JFK,IAD,0,1
DH,6,1600-1659,JFK,IAD,0,0
DH,6,2100-2159,LGA,IAD,0,0
DL,6,1400-1459,JFK,DCA,0,1
DL,6,0800-0859,LGA,DCA,0,0
DL,6,1000-1059,LGA,DCA,0,0
DL,6,1200-1259,LGA,DCA,0,0
DL,6,1400-1459,LGA,DCA,0,0
DL,6,1600-1659,LGA,DCA,0,0
DL,6,1800-1859,LGA,DCA,0,0
DL,6,2000-2059,LGA,DCA,0,0
MQ,6,1500-1559,JFK,DCA,0,1
MQ,6,0600-0659,JFK,DCA,0,0
MQ,6,1800-1859,JFK,DCA,0,0
MQ,6,0900-0959,LGA,DCA,0,0
MQ,6,1300-1359,LGA,DCA,0,0
UA,6,0800-0859,LGA,IAD,0,0
US,6,0700-0759,LGA,DCA,0,0
US,6,0900-0959,LGA,DCA,0,0
US,6,1100-1159,LGA,DCA,0,0
US,6,1300-1359,LGA,DCA,0,0
US,6,1500-1559,LGA,DCA,0,0
US,6,1700-1759,LGA,DCA,0,0
US,6,1900-1959,LGA,DCA,0,0
RU,6,1700-1759,EWR,BWI,0,0
RU,6,0700-0759,EWR,BWI,0,0
RU,6,1000-1059,EWR,BWI,0,0
RU,6,1400-1459,EWR,BWI,0,0
CO,6,1300-1359,EWR,DCA,0,0
DH,6,0800-0859,EWR,IAD,0,1
DH,6,1700-1759,EWR,IAD,0,0
DH,6,1200-1259,EWR,IAD,0,1
DH,6,2100-2159,EWR,IAD,0,0
DH,6,0600-0659,EWR,IAD,0,0
RU,6,1700-1759,EWR,IAD,0,0
RU,6,1400-1459,EWR,DCA,0,0
RU,6,0700-0759,EWR,IAD,0,0
RU,6,0900-0959,EWR,DCA,0,0
RU,6,1700-1759,EWR,DCA,0,0
RU,6,1600-1659,EWR,DCA,0,0
RU,6,1500-1559,EWR,IAD,0,0
RU,6,0700-0759,EWR,DCA,0,0
OH,7,1400-1459,JFK,BWI,0,1
DH,7,1600-1659,JFK,DCA,0,0
DH,7,1200-1259,LGA,IAD,0,0
DH,7,1400-1459,LGA,IAD,0,1
DH,7,1700-1759,LGA,IAD,0,1
DH,7,0600-0659,LGA,IAD,0,0
DH,7,1000-1059,LGA,IAD,0,0
DH,7,0800-0859,JFK,IAD,0,0
DH,7,1200-1259,JFK,IAD,0,0
DH,7,1400-1459,JFK,IAD,0,0
DH,7,1600-1659,JFK,IAD,0,0
DH,7,1700-1759,JFK,IAD,0,0
DH,7,2100-2159,JFK,IAD,0,0
DH,7,1600-1659,JFK,IAD,0,0
DH,7,2100-2159,LGA,IAD,0,0
DL,7,1400-1459,JFK,DCA,0,0
DL,7,0800-0859,LGA,DCA,0,0
DL,7,1000-1059,LGA,DCA,0,0
DL,7,1200-1259,LGA,DCA,0,0
DL,7,1400-1459,LGA,DCA,0,0
DL,7,1600-1659,LGA,DCA,0,0
DL,7,1800-1859,LGA,DCA,0,0
DL,7,2000-2059,LGA,DCA,0,0
MQ,7,1500-1559,JFK,DCA,0,1
MQ,7,0600-0659,JFK,DCA,0,0
MQ,7,0700-0759,JFK,DCA,0,0
MQ,7,1800-1859,JFK,DCA,0,1
MQ,7,1300-1359,LGA,DCA,0,0
MQ,7,1500-1559,LGA,DCA,0,1
MQ,7,1700-1759,LGA,DCA,0,0
MQ,7,1900-1959,LGA,DCA,0,1
UA,7,0800-0859,LGA,IAD,0,0
US,7,0900-0959,LGA,DCA,0,0
US,7,1000-1059,LGA,DCA,0,0
US,7,1100-1159,LGA,DCA,0,0
US,7,1200-1259,LGA,DCA,0,0
